"age","workclass","educational.num","marital.status","occupation","relationship","gender","capital.gain","capital.loss","hours.per.week","income_.50K"
30,"Private",9,"Widowed","Adm-clerical","Not-in-family","Female",0,0,40,"0"
34,"Private",8,"Divorced","Machine-op-inspct","Own-child","Female",0,0,40,"0"
26,"Private",13,"Never-married","Prof-specialty","Not-in-family","Female",0,0,50,"0"
23,"Private",4,"Never-married","Craft-repair","Not-in-family","Male",0,0,25,"0"
21,"Private",10,"Never-married","Other-service","Own-child","Female",0,0,15,"0"
42,"Private",9,"Married-civ-spouse","Machine-op-inspct","Husband","Male",0,0,40,"1"
68,"Self-emp-not-inc",9,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,25,"0"
41,"Private",10,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,40,"1"
49,"Private",3,"Married-spouse-absent","Machine-op-inspct","Unmarried","Female",0,0,20,"0"
31,"Private",10,"Never-married","Protective-serv","Not-in-family","Male",0,0,40,"0"
58,"Private",9,"Divorced","Adm-clerical","Not-in-family","Female",0,0,40,"0"
34,"State-gov",13,"Married-civ-spouse","Adm-clerical","Husband","Male",0,0,55,"0"
80,"Self-emp-not-inc",9,"Married-civ-spouse","Farming-fishing","Husband","Male",0,0,30,"0"
52,"Private",9,"Divorced","Other-service","Not-in-family","Male",0,0,40,"0"
56,"Private",9,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,40,"0"
27,"State-gov",13,"Never-married","Prof-specialty","Own-child","Female",0,0,40,"0"
49,"Self-emp-inc",13,"Married-civ-spouse","Sales","Husband","Male",99999,0,40,"1"
73,"Local-gov",10,"Never-married","Prof-specialty","Other-relative","Female",0,0,11,"0"
59,"Local-gov",5,"Married-civ-spouse","Other-service","Husband","Male",0,0,40,"0"
33,"Private",13,"Married-civ-spouse","Prof-specialty","Husband","Male",0,0,45,"1"
39,"Private",10,"Married-civ-spouse","Sales","Husband","Male",2829,0,65,"0"
33,"Local-gov",10,"Separated","Other-service","Own-child","Female",0,0,35,"0"
52,"Private",9,"Widowed","Priv-house-serv","Other-relative","Female",0,0,40,"0"
30,"Private",10,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,45,"1"
46,"Private",9,"Divorced","Prof-specialty","Not-in-family","Female",0,0,40,"0"
57,"Private",14,"Married-civ-spouse","Prof-specialty","Husband","Male",0,1977,45,"1"
31,"Private",13,"Never-married","Other-service","Not-in-family","Female",0,0,25,"0"
43,"Local-gov",8,"Married-civ-spouse","Transport-moving","Husband","Male",0,1579,40,"0"
51,"Private",10,"Married-civ-spouse","Sales","Husband","Male",0,1902,50,"1"
30,"Federal-gov",13,"Never-married","Prof-specialty","Not-in-family","Male",0,1876,40,"0"
64,"Federal-gov",9,"Married-civ-spouse","Adm-clerical","Husband","Male",0,0,40,"0"
69,"Self-emp-not-inc",5,"Married-civ-spouse","Adm-clerical","Husband","Male",0,0,40,"0"
22,"Private",13,"Never-married","Exec-managerial","Own-child","Female",0,0,40,"0"
17,"Private",7,"Never-married","Other-service","Own-child","Male",2176,0,20,"0"
41,"Private",9,"Divorced","Protective-serv","Own-child","Male",0,0,40,"0"
63,"Private",14,"Married-civ-spouse","Tech-support","Husband","Male",5013,0,40,"0"
23,"Private",4,"Never-married","Machine-op-inspct","Own-child","Female",0,0,40,"0"
33,"Private",9,"Married-civ-spouse","Machine-op-inspct","Husband","Male",0,0,40,"0"
23,"Private",10,"Never-married","Sales","Own-child","Female",0,0,40,"0"
18,"Self-emp-inc",9,"Never-married","Farming-fishing","Own-child","Female",0,0,8,"0"
37,"Private",9,"Widowed","Adm-clerical","Unmarried","Female",0,0,68,"0"
32,"State-gov",13,"Married-civ-spouse","Tech-support","Husband","Male",0,0,20,"0"
36,"Private",13,"Married-civ-spouse","Sales","Husband","Male",0,1887,35,"1"
31,"Private",14,"Never-married","Prof-specialty","Not-in-family","Male",0,0,30,"0"
55,"Private",9,"Divorced","Protective-serv","Not-in-family","Male",0,0,20,"0"
26,"Private",11,"Divorced","Sales","Own-child","Female",594,0,35,"0"
55,"Private",14,"Never-married","Prof-specialty","Other-relative","Female",0,0,40,"0"
46,"Private",9,"Divorced","Adm-clerical","Not-in-family","Male",0,0,40,"0"
26,"Private",9,"Divorced","Adm-clerical","Unmarried","Female",0,0,48,"0"
35,"Private",13,"Divorced","Transport-moving","Not-in-family","Male",0,0,40,"0"
47,"Local-gov",16,"Married-civ-spouse","Exec-managerial","Husband","Male",0,0,40,"1"
23,"Private",13,"Never-married","Sales","Not-in-family","Male",0,0,40,"0"
29,"Private",11,"Never-married","Craft-repair","Other-relative","Male",0,0,40,"0"
36,"Private",13,"Married-civ-spouse","Exec-managerial","Husband","Male",0,0,55,"1"
36,"Private",10,"Never-married","Craft-repair","Own-child","Male",2174,0,60,"0"
23,"Private",11,"Never-married","Craft-repair","Own-child","Male",0,0,33,"0"
51,"Self-emp-not-inc",9,"Married-civ-spouse","Exec-managerial","Husband","Male",0,0,45,"1"
32,"Local-gov",13,"Married-civ-spouse","Adm-clerical","Wife","Female",0,0,40,"0"
55,"Private",9,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,48,"1"
18,"Private",10,"Never-married","Other-service","Own-child","Male",0,0,16,"0"
50,"Local-gov",9,"Married-civ-spouse","Machine-op-inspct","Husband","Male",4386,0,48,"1"
20,"Private",10,"Never-married","Other-service","Own-child","Male",0,0,35,"0"
23,"Private",6,"Married-civ-spouse","Handlers-cleaners","Husband","Male",0,0,40,"0"
32,"Self-emp-inc",10,"Married-civ-spouse","Sales","Husband","Male",0,0,99,"1"
58,"Local-gov",12,"Widowed","Adm-clerical","Not-in-family","Female",0,0,40,"0"
37,"Private",13,"Never-married","Sales","Not-in-family","Female",0,0,40,"0"
29,"Local-gov",7,"Divorced","Other-service","Unmarried","Female",0,0,20,"0"
31,"Private",9,"Married-civ-spouse","Farming-fishing","Husband","Male",3137,0,45,"0"
19,"Private",9,"Never-married","Adm-clerical","Own-child","Female",0,0,40,"0"
63,"Local-gov",10,"Divorced","Protective-serv","Not-in-family","Female",0,0,35,"0"
34,"Private",9,"Married-civ-spouse","Machine-op-inspct","Other-relative","Female",0,0,40,"0"
33,"Self-emp-not-inc",14,"Married-civ-spouse","Prof-specialty","Wife","Female",0,0,8,"0"
47,"Private",10,"Married-civ-spouse","Exec-managerial","Husband","Male",0,0,60,"1"
32,"Self-emp-inc",10,"Married-civ-spouse","Exec-managerial","Husband","Male",15024,0,50,"1"
42,"State-gov",9,"Married-civ-spouse","Protective-serv","Husband","Male",0,0,72,"1"
26,"Private",7,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,40,"0"
38,"Private",5,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,40,"0"
54,"State-gov",14,"Married-spouse-absent","Prof-specialty","Not-in-family","Female",0,0,40,"0"
43,"Self-emp-not-inc",9,"Never-married","Craft-repair","Not-in-family","Male",0,0,35,"0"
27,"Private",10,"Never-married","Sales","Not-in-family","Female",0,0,40,"0"
39,"Private",10,"Divorced","Exec-managerial","Unmarried","Female",0,0,56,"0"
55,"Private",14,"Widowed","Exec-managerial","Own-child","Male",0,0,62,"1"
42,"Private",10,"Married-civ-spouse","Prof-specialty","Wife","Female",0,0,50,"1"
30,"Private",13,"Married-civ-spouse","Prof-specialty","Husband","Male",0,0,40,"1"
28,"Private",13,"Married-civ-spouse","Exec-managerial","Husband","Male",0,0,40,"0"
27,"Federal-gov",9,"Never-married","Craft-repair","Own-child","Male",0,0,20,"0"
57,"Private",3,"Separated","Machine-op-inspct","Not-in-family","Female",0,0,40,"0"
53,"Private",16,"Never-married","Prof-specialty","Unmarried","Female",0,1408,40,"0"
20,"Private",9,"Never-married","Craft-repair","Not-in-family","Male",0,0,40,"0"
26,"Private",12,"Never-married","Exec-managerial","Own-child","Female",0,0,40,"0"
19,"Private",10,"Never-married","Adm-clerical","Not-in-family","Male",2176,0,35,"0"
23,"Local-gov",13,"Never-married","Prof-specialty","Own-child","Female",0,0,43,"0"
44,"Private",14,"Married-civ-spouse","Exec-managerial","Husband","Male",5178,0,40,"1"
43,"State-gov",9,"Never-married","Transport-moving","Not-in-family","Male",0,0,60,"0"
65,"Local-gov",9,"Widowed","Other-service","Unmarried","Female",0,0,25,"0"
55,"Private",14,"Married-civ-spouse","Exec-managerial","Husband","Male",0,1977,60,"1"
17,"Private",5,"Never-married","Sales","Own-child","Female",0,0,15,"0"
56,"Private",6,"Divorced","Craft-repair","Not-in-family","Male",0,0,45,"0"
43,"Private",7,"Married-civ-spouse","Transport-moving","Husband","Male",0,2042,40,"0"
37,"Private",9,"Divorced","Tech-support","Own-child","Male",0,0,45,"0"
40,"Federal-gov",13,"Never-married","Adm-clerical","Not-in-family","Male",0,0,40,"0"
27,"Private",10,"Never-married","Adm-clerical","Not-in-family","Female",0,0,40,"0"
60,"Private",9,"Married-civ-spouse","Exec-managerial","Husband","Male",0,0,45,"1"
20,"Private",9,"Never-married","Sales","Not-in-family","Male",0,0,40,"0"
69,"Private",4,"Divorced","Machine-op-inspct","Unmarried","Female",2964,0,40,"0"
63,"Local-gov",13,"Never-married","Prof-specialty","Not-in-family","Female",0,0,21,"0"
42,"Private",9,"Married-civ-spouse","Exec-managerial","Husband","Male",0,0,48,"0"
19,"Private",9,"Never-married","Machine-op-inspct","Own-child","Female",0,0,40,"0"
26,"Local-gov",10,"Married-civ-spouse","Prof-specialty","Husband","Male",0,0,40,"0"
34,"Federal-gov",16,"Never-married","Prof-specialty","Not-in-family","Female",0,0,99,"0"
40,"Private",9,"Divorced","Craft-repair","Not-in-family","Male",0,0,50,"0"
26,"Private",10,"Never-married","Handlers-cleaners","Not-in-family","Male",0,0,30,"0"
24,"Private",9,"Married-civ-spouse","Machine-op-inspct","Husband","Male",0,1579,50,"0"
50,"Self-emp-inc",10,"Married-civ-spouse","Sales","Husband","Male",0,0,60,"1"
34,"State-gov",9,"Separated","Adm-clerical","Unmarried","Female",0,0,20,"0"
41,"Private",15,"Married-civ-spouse","Prof-specialty","Husband","Male",15024,0,50,"1"
49,"Local-gov",12,"Divorced","Adm-clerical","Not-in-family","Female",0,0,30,"0"
24,"Private",10,"Never-married","Adm-clerical","Not-in-family","Female",0,0,40,"0"
55,"Self-emp-not-inc",9,"Never-married","Craft-repair","Own-child","Male",0,0,35,"0"
31,"Private",8,"Divorced","Other-service","Unmarried","Female",0,0,21,"0"
56,"Private",9,"Divorced","Craft-repair","Other-relative","Male",0,0,40,"0"
42,"Self-emp-not-inc",13,"Married-civ-spouse","Sales","Husband","Male",0,0,50,"1"
23,"Private",9,"Married-civ-spouse","Exec-managerial","Husband","Male",0,0,30,"0"
46,"Self-emp-not-inc",15,"Married-civ-spouse","Prof-specialty","Husband","Male",15024,0,35,"1"
40,"Private",10,"Divorced","Other-service","Unmarried","Female",0,0,30,"0"
44,"Private",14,"Divorced","Exec-managerial","Not-in-family","Male",0,0,50,"0"
27,"Private",10,"Married-civ-spouse","Sales","Husband","Male",0,0,55,"0"
58,"Self-emp-not-inc",14,"Married-civ-spouse","Exec-managerial","Husband","Male",0,0,50,"0"
60,"Private",13,"Married-civ-spouse","Prof-specialty","Husband","Male",0,0,35,"0"
40,"Private",11,"Married-civ-spouse","Prof-specialty","Husband","Male",0,0,40,"1"
19,"Private",5,"Never-married","Handlers-cleaners","Own-child","Female",0,0,40,"0"
27,"Local-gov",9,"Never-married","Transport-moving","Own-child","Male",0,0,40,"0"
41,"Private",9,"Married-civ-spouse","Handlers-cleaners","Husband","Male",7688,0,40,"1"
32,"Private",9,"Never-married","Craft-repair","Not-in-family","Male",0,0,40,"0"
47,"Self-emp-inc",9,"Married-civ-spouse","Machine-op-inspct","Husband","Male",0,0,48,"0"
50,"Private",9,"Married-civ-spouse","Exec-managerial","Husband","Male",0,0,50,"1"
21,"Private",9,"Married-civ-spouse","Machine-op-inspct","Wife","Female",0,0,37,"0"
18,"Private",8,"Never-married","Sales","Other-relative","Female",0,0,16,"0"
24,"Self-emp-inc",13,"Never-married","Sales","Own-child","Male",0,0,40,"0"
38,"Private",9,"Divorced","Machine-op-inspct","Not-in-family","Male",0,0,40,"0"
45,"Private",9,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,40,"0"
69,"Private",4,"Widowed","Other-service","Not-in-family","Female",1086,0,20,"0"
32,"Self-emp-not-inc",13,"Married-civ-spouse","Farming-fishing","Husband","Male",0,0,70,"0"
21,"Private",9,"Never-married","Craft-repair","Not-in-family","Male",0,0,32,"0"
64,"Private",13,"Widowed","Prof-specialty","Not-in-family","Female",0,0,30,"0"
28,"Private",13,"Married-civ-spouse","Sales","Wife","Female",15024,0,45,"1"
49,"Private",14,"Divorced","Exec-managerial","Not-in-family","Female",0,0,75,"0"
59,"Private",7,"Widowed","Transport-moving","Unmarried","Female",0,0,40,"0"
50,"State-gov",9,"Married-civ-spouse","Transport-moving","Husband","Male",0,0,40,"0"
58,"State-gov",9,"Divorced","Other-service","Own-child","Male",0,0,40,"0"
46,"Local-gov",14,"Married-civ-spouse","Prof-specialty","Husband","Male",0,0,50,"1"
38,"Private",9,"Divorced","Craft-repair","Unmarried","Male",0,0,50,"0"
38,"Private",10,"Married-civ-spouse","Craft-repair","Husband","Male",7688,0,40,"1"
28,"Local-gov",12,"Never-married","Craft-repair","Own-child","Male",0,0,5,"0"
25,"Private",13,"Married-civ-spouse","Exec-managerial","Own-child","Female",0,0,40,"0"
29,"Private",15,"Never-married","Prof-specialty","Not-in-family","Female",0,0,55,"0"
33,"Federal-gov",9,"Never-married","Exec-managerial","Not-in-family","Female",0,0,40,"0"
33,"Self-emp-not-inc",9,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,40,"0"
30,"Private",9,"Married-civ-spouse","Machine-op-inspct","Husband","Male",0,0,40,"0"
36,"Private",12,"Married-civ-spouse","Exec-managerial","Husband","Male",0,0,50,"1"
35,"Private",9,"Divorced","Sales","Unmarried","Female",0,0,40,"0"
40,"Private",9,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,45,"0"
27,"Private",10,"Never-married","Machine-op-inspct","Not-in-family","Female",0,0,40,"0"
43,"Federal-gov",9,"Married-civ-spouse","Adm-clerical","Wife","Female",0,0,35,"0"
38,"Private",9,"Married-civ-spouse","Machine-op-inspct","Husband","Male",0,0,40,"0"
39,"Private",12,"Widowed","Adm-clerical","Unmarried","Female",0,0,45,"0"
20,"Private",5,"Never-married","Transport-moving","Unmarried","Male",0,0,35,"0"
32,"Private",10,"Never-married","Other-service","Own-child","Male",0,0,35,"0"
43,"Private",13,"Divorced","Prof-specialty","Unmarried","Male",0,0,40,"0"
41,"Federal-gov",13,"Never-married","Exec-managerial","Not-in-family","Male",0,0,40,"1"
39,"Private",9,"Divorced","Handlers-cleaners","Not-in-family","Male",0,0,40,"0"
32,"Private",9,"Married-civ-spouse","Craft-repair","Husband","Male",0,1579,36,"0"
28,"Private",9,"Married-civ-spouse","Craft-repair","Husband","Male",3137,0,45,"0"
24,"Private",9,"Married-civ-spouse","Craft-repair","Wife","Female",0,0,36,"0"
51,"Self-emp-inc",13,"Married-civ-spouse","Protective-serv","Husband","Male",0,0,40,"1"
38,"Private",10,"Never-married","Craft-repair","Own-child","Male",0,0,40,"0"
23,"Private",11,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,40,"0"
46,"Private",9,"Divorced","Craft-repair","Not-in-family","Female",14344,0,40,"1"
48,"Private",4,"Married-civ-spouse","Transport-moving","Husband","Male",0,1672,55,"0"
43,"Self-emp-not-inc",10,"Married-civ-spouse","Farming-fishing","Husband","Male",0,0,50,"0"
17,"Private",6,"Never-married","Sales","Own-child","Female",0,0,24,"0"
41,"Private",9,"Married-civ-spouse","Sales","Wife","Female",0,0,20,"0"
30,"State-gov",13,"Married-civ-spouse","Prof-specialty","Husband","Male",0,0,40,"1"
25,"Private",9,"Separated","Craft-repair","Not-in-family","Male",0,0,40,"0"
26,"Private",10,"Never-married","Machine-op-inspct","Not-in-family","Male",0,0,40,"0"
48,"Local-gov",9,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,40,"1"
48,"Private",14,"Never-married","Machine-op-inspct","Not-in-family","Male",0,0,40,"0"
51,"Self-emp-not-inc",15,"Married-civ-spouse","Prof-specialty","Husband","Male",0,0,40,"0"
31,"Self-emp-not-inc",13,"Married-spouse-absent","Exec-managerial","Not-in-family","Male",0,1980,60,"0"
24,"State-gov",13,"Never-married","Prof-specialty","Not-in-family","Male",0,0,40,"0"
58,"Private",9,"Divorced","Other-service","Own-child","Female",0,0,40,"0"
36,"Private",9,"Married-civ-spouse","Craft-repair","Husband","Male",15024,0,40,"1"
40,"Private",5,"Never-married","Craft-repair","Other-relative","Male",0,0,49,"0"
47,"Private",13,"Married-spouse-absent","Adm-clerical","Not-in-family","Female",0,0,40,"0"
39,"State-gov",16,"Married-civ-spouse","Prof-specialty","Husband","Male",0,0,50,"1"
35,"Private",13,"Married-civ-spouse","Exec-managerial","Husband","Male",15024,0,50,"1"
22,"Private",10,"Divorced","Adm-clerical","Unmarried","Female",0,0,40,"0"
45,"Self-emp-not-inc",14,"Married-civ-spouse","Sales","Husband","Male",0,0,40,"1"
25,"Private",9,"Never-married","Other-service","Not-in-family","Male",0,0,48,"0"
21,"Private",9,"Never-married","Adm-clerical","Not-in-family","Female",0,0,25,"0"
55,"Local-gov",10,"Divorced","Adm-clerical","Not-in-family","Male",0,0,40,"0"
26,"Private",13,"Never-married","Adm-clerical","Not-in-family","Male",0,0,45,"0"
38,"Private",9,"Never-married","Adm-clerical","Unmarried","Female",0,0,35,"0"
44,"Private",8,"Married-civ-spouse","Transport-moving","Husband","Male",0,0,40,"0"
43,"Private",7,"Married-civ-spouse","Handlers-cleaners","Wife","Female",0,0,25,"0"
18,"Private",10,"Never-married","Sales","Own-child","Female",0,0,15,"0"
35,"Private",10,"Divorced","Exec-managerial","Not-in-family","Female",0,0,70,"0"
31,"Private",14,"Never-married","Prof-specialty","Not-in-family","Female",0,0,30,"0"
53,"Federal-gov",13,"Married-civ-spouse","Adm-clerical","Husband","Male",0,0,40,"1"
49,"Private",9,"Never-married","Craft-repair","Not-in-family","Male",0,0,40,"0"
28,"Private",12,"Married-civ-spouse","Sales","Husband","Male",0,0,30,"0"
24,"Private",13,"Never-married","Tech-support","Own-child","Female",0,0,40,"0"
26,"Private",9,"Divorced","Sales","Unmarried","Female",0,0,40,"0"
53,"Private",5,"Never-married","Craft-repair","Not-in-family","Male",0,0,40,"0"
18,"Self-emp-not-inc",9,"Married-civ-spouse","Other-service","Wife","Female",0,0,40,"0"
51,"Private",2,"Widowed","Other-service","Unmarried","Female",0,0,35,"0"
33,"Private",7,"Never-married","Sales","Not-in-family","Female",0,0,40,"0"
58,"Self-emp-not-inc",13,"Married-civ-spouse","Farming-fishing","Husband","Male",0,0,25,"0"
32,"Private",13,"Married-civ-spouse","Sales","Husband","Male",0,0,60,"1"
63,"Private",1,"Married-civ-spouse","Prof-specialty","Husband","Male",0,0,30,"0"
69,"Private",15,"Married-civ-spouse","Prof-specialty","Husband","Male",0,0,3,"0"
43,"Private",14,"Divorced","Exec-managerial","Not-in-family","Female",0,0,50,"1"
34,"Private",10,"Married-civ-spouse","Sales","Husband","Male",0,0,50,"0"
38,"Private",10,"Divorced","Craft-repair","Unmarried","Male",0,0,40,"0"
40,"Private",4,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,60,"0"
44,"Private",5,"Divorced","Other-service","Own-child","Female",0,0,50,"0"
35,"Private",9,"Separated","Transport-moving","Not-in-family","Male",0,0,40,"0"
48,"Private",10,"Married-civ-spouse","Tech-support","Husband","Male",0,0,40,"1"
22,"Private",10,"Never-married","Craft-repair","Own-child","Male",0,0,35,"0"
44,"Private",10,"Married-civ-spouse","Exec-managerial","Husband","Male",0,0,40,"1"
36,"Private",10,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,40,"0"
51,"Local-gov",9,"Divorced","Protective-serv","Unmarried","Male",0,0,52,"0"
34,"Private",14,"Married-civ-spouse","Sales","Husband","Male",0,0,40,"0"
34,"Private",10,"Married-civ-spouse","Sales","Husband","Male",0,0,60,"0"
62,"Private",2,"Married-civ-spouse","Priv-house-serv","Wife","Female",0,0,30,"0"
22,"Private",10,"Never-married","Craft-repair","Own-child","Male",0,0,40,"0"
37,"Private",6,"Married-civ-spouse","Transport-moving","Husband","Male",0,0,35,"0"
22,"Local-gov",13,"Never-married","Prof-specialty","Own-child","Female",0,0,20,"0"
24,"Private",9,"Never-married","Handlers-cleaners","Not-in-family","Female",0,0,36,"0"
45,"Private",8,"Married-civ-spouse","Craft-repair","Husband","Male",0,0,40,"0"
42,"Private",9,"Never-married","Craft-repair","Other-relative","Male",0,0,40,"0"
